checkup_bin,condition_count,hgb_k2_mae,hgb_minus_prior_slope_mae,hgb_wins_fraction,horizon_checkups,n_rows,prior_delta_abs_bin,prior_slope_mae,soh_bin,split_name,target
checkup_13_plus,2,0.05492869381951756,0.022850360486184204,0.3333333333333333,1,3,prior_abs_ge_0_05,0.032078333333333355,soh_0_80_0_90,condition_fold,capacity_Ah_kh
checkup_13_plus,6,0.0074553752664585,-0.0031087675906845856,0.8571428571428571,1,7,prior_abs_lt_0_005,0.010564142857143086,soh_0_80_0_90,condition_fold,capacity_Ah_kh
checkup_13_plus,15,0.005035827402532124,0.00323794861465335,0.13053613053613053,1,429,prior_abs_0_005_0_02,0.0017978787878787734,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_13_plus,6,0.013968566953858109,0.001059966953858106,0.4,1,10,prior_abs_0_02_0_05,0.012908600000000003,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_13_plus,12,0.0060996269137181085,0.004293534606025814,0.18461538461538463,1,130,prior_abs_lt_0_005,0.0018060923076922948,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_13_plus,2,0.03461436418554409,-0.034915635814456114,0.5,1,2,prior_abs_0_005_0_02,0.0695300000000002,soh_lt_0_70,condition_fold,capacity_Ah_kh
checkup_13_plus,4,0.05163746104896547,0.009784877715632113,0.4166666666666667,1,12,prior_abs_0_02_0_05,0.04185258333333336,soh_lt_0_70,condition_fold,capacity_Ah_kh
checkup_13_plus,20,0.13046740602070003,0.030445471238091354,0.40217391304347827,1,92,prior_abs_ge_0_05,0.10002193478260868,soh_lt_0_70,condition_fold,capacity_Ah_kh
checkup_4_7,1,0.05224257471982874,0.049795574719828206,0.0,1,1,prior_abs_0_005_0_02,0.002447000000000532,soh_0_70_0_80,condition_fold,capacity_Ah_kh
checkup_4_7,4,0.02520263491120074,0.01752591491120075,0.2,1,25,prior_abs_0_02_0_05,0.007676719999999993,soh_0_70_0_80,condition_fold,capacity_Ah_kh
checkup_4_7,14,0.18054877036425945,-0.030595662068172935,0.4864864864864865,1,37,prior_abs_ge_0_05,0.2111444324324324,soh_0_70_0_80,condition_fold,capacity_Ah_kh
checkup_4_7,2,0.005085835597547679,-0.001721164402452402,0.6666666666666666,1,3,prior_abs_0_005_0_02,0.006807000000000081,soh_0_80_0_90,condition_fold,capacity_Ah_kh
checkup_4_7,30,0.012224997529815589,0.005457427697413356,0.3240223463687151,1,179,prior_abs_0_02_0_05,0.006767569832402232,soh_0_80_0_90,condition_fold,capacity_Ah_kh
checkup_4_7,27,0.051555960756866095,0.005032703614008961,0.45714285714285713,1,140,prior_abs_ge_0_05,0.046523257142857134,soh_0_80_0_90,condition_fold,capacity_Ah_kh
checkup_4_7,15,0.007254932225573361,0.005583758614462241,0.1875,1,144,prior_abs_0_005_0_02,0.0016711736111111196,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_4_7,23,0.008559583516712495,0.003524706467532149,0.4098360655737705,1,122,prior_abs_0_02_0_05,0.005034877049180346,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_4_7,9,0.015241631045634292,0.0026920855910888396,0.5,1,22,prior_abs_ge_0_05,0.012549545454545452,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_4_7,12,0.21608657891362282,-0.014679230610186583,0.42857142857142855,1,21,prior_abs_ge_0_05,0.2307658095238094,soh_lt_0_70,condition_fold,capacity_Ah_kh
checkup_8_12,6,0.01861282458488141,0.015350150166276779,0.046511627906976744,1,43,prior_abs_0_005_0_02,0.003262674418604632,soh_0_70_0_80,condition_fold,capacity_Ah_kh
checkup_8_12,16,0.027297488147378604,0.008513154814045305,0.47619047619047616,1,63,prior_abs_0_02_0_05,0.0187843333333333,soh_0_70_0_80,condition_fold,capacity_Ah_kh
checkup_8_12,13,0.12403203802689335,0.019144212630067936,0.4126984126984127,1,63,prior_abs_ge_0_05,0.10488782539682541,soh_0_70_0_80,condition_fold,capacity_Ah_kh
checkup_8_12,13,0.007100425657229251,0.004476779823895919,0.17708333333333334,1,96,prior_abs_0_005_0_02,0.0026236458333333316,soh_0_80_0_90,condition_fold,capacity_Ah_kh
checkup_8_12,24,0.010284934557685957,0.00402833455768593,0.24571428571428572,1,175,prior_abs_0_02_0_05,0.006256600000000027,soh_0_80_0_90,condition_fold,capacity_Ah_kh
checkup_8_12,10,0.053274689449605526,0.009427489449605482,0.26666666666666666,1,30,prior_abs_ge_0_05,0.043847200000000044,soh_0_80_0_90,condition_fold,capacity_Ah_kh
