artifact,split_name,target,horizon_checkups,model_level,feature_group,retention_fraction,rows_retained,conditions_retained,positive_count,negative_count,brier,ece_10_bin,mean_support_score,median_nearest_distance,claim_scope
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W0_capacity_state,0.9,142,12,60,82,0.3773553491516084,0.4000802565741831,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W0_capacity_state,0.75,118,11,57,61,0.43126153967970166,0.45872025456856497,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W0_capacity_state,0.5,79,9,42,37,0.4780867340312878,0.5080747739880328,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W0_capacity_state,0.25,40,6,30,10,0.671476445308915,0.7182946202568818,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W1_state_time,1.0,157,12,64,93,0.33866806165029,0.32673068062903865,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W1_state_time,0.9,142,12,60,82,0.3526169948114275,0.3474233625642036,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W1_state_time,0.75,118,11,57,61,0.40087910886679573,0.41148728971947635,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W1_state_time,0.5,79,9,42,37,0.4447911672355399,0.46467055680944686,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W1_state_time,0.25,40,6,30,10,0.6064482008995709,0.6687327081126982,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W2_nominal,1.0,157,12,64,93,0.2238944407806112,0.1823459417923494,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W2_nominal,0.9,142,12,60,82,0.22577394639685722,0.19015572288784177,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W2_nominal,0.75,118,11,57,61,0.23780329217399238,0.17634271916339547,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W2_nominal,0.5,79,9,42,37,0.21383300536061242,0.2431669503156687,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W2_nominal,0.25,40,6,30,10,0.17173801818481593,0.12120277274812617,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
