split_name,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,train_conditions,exact_nominal_match_count,same_stressor_support_count,nearest_distance,nearest_parameter_set,support_score,claim_scope
temperature_holdout_fold,0,71,profile,25.0,approx_0_100,0.0,0.0,2,38,0,0,0.375,74,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,72,profile,25.0,approx_0_100,0.0,0.0,3,38,0,0,0.375,75,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,73,profile,25.0,approx_0_100,0.0,0.0,4,38,0,0,0.375,76,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,2,74,profile,40.0,approx_0_100,0.0,0.0,2,57,0,0,0.6,71,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,75,profile,40.0,approx_0_100,0.0,0.0,3,57,0,0,0.6,72,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,76,profile,40.0,approx_0_100,0.0,0.0,4,57,0,0,0.6,73,0.625,train_only_support_diagnostic
c_rate_holdout_fold,0,1,calendar,0.0,calendar_soc_10,0.0,0.0,0,12,0,0,2.4060133000463653,20,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,2,calendar,0.0,calendar_soc_50,0.0,0.0,0,12,0,0,2.4060133000463653,20,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,3,calendar,0.0,calendar_soc_90,0.0,0.0,0,12,0,0,2.4060133000463653,20,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,4,calendar,0.0,calendar_soc_100,0.0,0.0,0,12,0,0,2.4060133000463653,20,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,5,calendar,10.0,calendar_soc_10,0.0,0.0,0,12,0,0,2.4060133000463653,32,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,6,calendar,10.0,calendar_soc_50,0.0,0.0,0,12,0,0,2.4060133000463653,32,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,7,calendar,10.0,calendar_soc_90,0.0,0.0,0,12,0,0,2.4060133000463653,32,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,8,calendar,10.0,calendar_soc_100,0.0,0.0,0,12,0,0,2.4060133000463653,32,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,9,calendar,25.0,calendar_soc_10,0.0,0.0,0,12,0,0,2.4060133000463653,44,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,10,calendar,25.0,calendar_soc_50,0.0,0.0,0,12,0,0,2.4060133000463653,44,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,11,calendar,25.0,calendar_soc_90,0.0,0.0,0,12,0,0,2.4060133000463653,44,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,12,calendar,25.0,calendar_soc_100,0.0,0.0,0,12,0,0,2.4060133000463653,44,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,13,calendar,40.0,calendar_soc_10,0.0,0.0,0,12,0,0,2.4060133000463653,56,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,14,calendar,40.0,calendar_soc_50,0.0,0.0,0,12,0,0,2.4060133000463653,56,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,15,calendar,40.0,calendar_soc_90,0.0,0.0,0,12,0,0,2.4060133000463653,56,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,16,calendar,40.0,calendar_soc_100,0.0,0.0,0,12,0,0,2.4060133000463653,56,0.29359838377213243,train_only_support_diagnostic
c_rate_holdout_fold,0,17,cyclic,0.0,approx_0_100,0.33,0.33,0,12,0,0,1.498165544924859,20,0.4002937283446035,train_only_support_diagnostic
c_rate_holdout_fold,0,18,cyclic,0.0,approx_0_100,0.33,1.0,0,12,0,0,1.3399999999999999,20,0.4273504273504274,train_only_support_diagnostic
c_rate_holdout_fold,0,19,cyclic,0.0,approx_0_100,1.0,1.0,0,12,0,0,0.6699999999999999,20,0.5988023952095809,train_only_support_diagnostic
c_rate_holdout_fold,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,64,0,0,0.6699999999999999,19,0.5988023952095809,train_only_support_diagnostic
c_rate_holdout_fold,0,21,cyclic,0.0,approx_10_100,0.33,0.33,0,12,0,0,1.498165544924859,24,0.4002937283446035,train_only_support_diagnostic
c_rate_holdout_fold,0,22,cyclic,0.0,approx_10_100,0.33,1.0,0,12,0,0,1.3399999999999999,24,0.4273504273504274,train_only_support_diagnostic
c_rate_holdout_fold,0,23,cyclic,0.0,approx_10_100,1.0,1.0,0,12,0,0,0.6699999999999999,24,0.5988023952095809,train_only_support_diagnostic
c_rate_holdout_fold,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,64,0,0,0.6699999999999999,23,0.5988023952095809,train_only_support_diagnostic
c_rate_holdout_fold,0,25,cyclic,0.0,approx_10_90,0.33,0.33,0,12,0,0,1.498165544924859,28,0.4002937283446035,train_only_support_diagnostic
c_rate_holdout_fold,0,26,cyclic,0.0,approx_10_90,0.33,1.0,0,12,0,0,1.3399999999999999,28,0.4273504273504274,train_only_support_diagnostic
c_rate_holdout_fold,0,27,cyclic,0.0,approx_10_90,1.0,1.0,0,12,0,0,0.6699999999999999,28,0.5988023952095809,train_only_support_diagnostic
c_rate_holdout_fold,1,28,cyclic,0.0,approx_10_90,1.67,1.0,0,64,0,0,0.6699999999999999,27,0.5988023952095809,train_only_support_diagnostic
c_rate_holdout_fold,0,29,cyclic,10.0,approx_0_100,0.33,0.33,0,12,0,0,1.498165544924859,32,0.4002937283446035,train_only_support_diagnostic
c_rate_holdout_fold,0,30,cyclic,10.0,approx_0_100,0.33,1.0,0,12,0,0,1.3399999999999999,32,0.4273504273504274,train_only_support_diagnostic
c_rate_holdout_fold,0,31,cyclic,10.0,approx_0_100,1.0,1.0,0,12,0,0,0.6699999999999999,32,0.5988023952095809,train_only_support_diagnostic
c_rate_holdout_fold,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,64,0,0,0.6699999999999999,31,0.5988023952095809,train_only_support_diagnostic
c_rate_holdout_fold,0,33,cyclic,10.0,approx_10_100,0.33,0.33,0,12,0,0,1.498165544924859,36,0.4002937283446035,train_only_support_diagnostic
