comparison_id,run_scope,candidate_model_level,reference_model_level,feature_group,target,split_name,heldout_fold,parameter_set,candidate_condition_mae,reference_condition_mae,condition_mae_gain,row_count
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,20,0.09166656703096443,0.09212488140617066,0.00045831437520622853,6
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,25,0.02464008370207577,0.024611475950156572,-2.8607751919196983e-05,67
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,25,0.016045564556751993,0.01606326974334942,1.7705186597424816e-05,67
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,25,0.016045564556751993,0.01606326974334942,1.7705186597424816e-05,67
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,29,0.07635162092460916,0.07628011260496911,-7.150831964004845e-05,40
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,29,0.046172142047590126,0.04614677825939795,-2.536378819217866e-05,40
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,29,0.046172142047590126,0.04614677825939795,-2.536378819217866e-05,40
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,33,0.05827746967719523,0.058103665140437966,-0.00017380453675726326,67
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,33,0.020448936167934886,0.020642396591929155,0.00019346042399426971,67
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,33,0.020448936167934886,0.020642396591929155,0.00019346042399426971,67
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,46,0.04453036334255861,0.04613828094000979,0.0016079175974511792,84
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,46,0.022891770484845024,0.022615685435534008,-0.0002760850493110159,84
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,46,0.022891770484845024,0.022615685435534008,-0.0002760850493110159,84
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,48,0.11688721551292036,0.12176640684409112,0.004879191331170762,10
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,48,0.07691834645296045,0.07663838293382094,-0.00027996351913950335,10
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,48,0.07691834645296045,0.07663838293382094,-0.00027996351913950335,10
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,50,0.017942049433136913,0.01607170361189297,-0.0018703458212439433,84
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,50,0.009492189808170607,0.009587982482380644,9.579267421003755e-05,84
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,50,0.009492189808170607,0.009587982482380644,9.579267421003755e-05,84
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,57,0.0731613722258032,0.0731613722258032,0.0,36
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,57,0.07319920540211491,0.07398631253903792,0.0007871071369230098,36
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,57,0.07319920540211491,0.07398631253903792,0.0007871071369230098,36
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,58,0.08957819970837186,0.09105640041859513,0.001478200710223268,38
