diagnostic_family,gain_10pct_rows,horizon_checkups,max_relative_gain,mean_gain,mean_relative_gain,min_gain,min_relative_gain,nonnegative_gain_rows,positive_gain_rows,reference_name,rows,split_name,target_name
eis,1,1,0.15514233187129714,6.038357082731408e-05,0.15514233187129714,6.038357082731408e-05,0.15514233187129714,1,1,prior_same_diagnostic,1,voltage_window_holdout_fold,eis_z_abs_1kHz
eis,1,2,0.389758718265829,0.0003668347378136998,0.389758718265829,0.0003668347378136998,0.389758718265829,1,1,capacity_state,1,all,eis_z_abs_1kHz
eis,1,2,0.21292174985838574,0.00015537398884539304,0.21292174985838574,0.00015537398884539304,0.21292174985838574,1,1,persistence,1,all,eis_z_abs_1kHz
eis,0,2,0.05997607581744389,3.664505181379357e-05,0.05997607581744389,3.664505181379357e-05,0.05997607581744389,1,1,prior_same_diagnostic,1,all,eis_z_abs_1kHz
eis,0,2,0.06859086767969257,0.00010309733866093991,0.06859086767969257,0.00010309733866093991,0.06859086767969257,1,1,capacity_state,1,c_rate_holdout_fold,eis_z_abs_1kHz
eis,1,2,0.3463907493796723,0.0007419416385331492,0.3463907493796723,0.0007419416385331492,0.3463907493796723,1,1,persistence,1,c_rate_holdout_fold,eis_z_abs_1kHz
eis,0,2,-0.009026536639471972,-1.252391787232173e-05,-0.009026536639471972,-1.252391787232173e-05,-0.009026536639471972,0,0,prior_same_diagnostic,1,c_rate_holdout_fold,eis_z_abs_1kHz
eis,1,2,0.4587776186366747,0.0003517983591204169,0.4587776186366747,0.0003517983591204169,0.4587776186366747,1,1,capacity_state,1,condition_fold,eis_z_abs_1kHz
eis,1,2,0.30806214561028505,0.00018477302966520888,0.30806214561028505,0.00018477302966520888,0.30806214561028505,1,1,persistence,1,condition_fold,eis_z_abs_1kHz
eis,1,2,0.11598092592693643,5.4449296185269324e-05,0.11598092592693643,5.4449296185269324e-05,0.11598092592693643,1,1,prior_same_diagnostic,1,condition_fold,eis_z_abs_1kHz
eis,1,2,0.5102483411393087,0.0005215438984019728,0.5102483411393087,0.0005215438984019728,0.5102483411393087,1,1,capacity_state,1,profile_holdout_fold,eis_z_abs_1kHz
eis,0,2,0.030197226795288093,1.55872256375803e-05,0.030197226795288093,1.55872256375803e-05,0.030197226795288093,1,1,persistence,1,profile_holdout_fold,eis_z_abs_1kHz
eis,1,2,0.2392021352999414,0.00015739138254906935,0.2392021352999414,0.00015739138254906935,0.2392021352999414,1,1,prior_same_diagnostic,1,profile_holdout_fold,eis_z_abs_1kHz
eis,1,2,0.3729379480936689,0.0003084841570352094,0.3729379480936689,0.0003084841570352094,0.3729379480936689,1,1,capacity_state,1,temperature_holdout_fold,eis_z_abs_1kHz
eis,1,2,0.21357843247448993,0.0001408668444825168,0.21357843247448993,0.0001408668444825168,0.21357843247448993,1,1,persistence,1,temperature_holdout_fold,eis_z_abs_1kHz
eis,0,2,0.010069028517334105,5.2758138756483055e-06,0.010069028517334105,5.2758138756483055e-06,0.010069028517334105,1,1,prior_same_diagnostic,1,temperature_holdout_fold,eis_z_abs_1kHz
eis,1,2,0.42718704395516705,0.00046713850234299356,0.42718704395516705,0.00046713850234299356,0.42718704395516705,1,1,capacity_state,1,voltage_window_holdout_fold,eis_z_abs_1kHz
