feature_group,horizon_checkups,max_abs_error,mean_abs_error,median_abs_error,model_level,parameter_set,rows,split_name,target_name
DH2_prior_same_diagnostic_state,5,1.9896723532991771,1.2990081558311388,1.310664267126635,DM3_hist_gradient_boosting,70,4,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.4597593983677197,1.2946931377567867,1.2125141218285063,DM3_hist_gradient_boosting,28,3,condition_fold,eis_phase_1kHz
persistence,2,1.467,1.279,1.224,DM0_persistence,19,3,condition_fold,eis_phase_1kHz
persistence,2,1.467,1.279,1.224,DM0_persistence,19,3,temperature_holdout_fold,eis_phase_1kHz
persistence,2,1.467,1.279,1.224,DM0_persistence,19,3,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,2.126722274278919,1.2731374568166922,1.2537894841749093,DM3_hist_gradient_boosting,16,72,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,2.299341673110961,1.2691139659455757,1.186348702819812,DM3_hist_gradient_boosting,16,66,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.4414647807305445,1.2683737144979799,1.2013551532572435,DM3_hist_gradient_boosting,28,3,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.5820533454300536,1.2658116033946027,1.2651344691635313,DM3_hist_gradient_boosting,32,3,c_rate_holdout_fold,eis_phase_1kHz
persistence,3,2.008,1.2653333333333334,1.556,DM0_persistence,67,6,condition_fold,eis_phase_1kHz
persistence,3,2.008,1.2653333333333334,1.556,DM0_persistence,67,6,profile_holdout_fold,eis_phase_1kHz
persistence,3,2.008,1.2653333333333334,1.556,DM0_persistence,67,6,temperature_holdout_fold,eis_phase_1kHz
persistence,3,2.008,1.2653333333333334,1.556,DM0_persistence,67,6,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.964636868524508,1.2643352124245788,1.2641619123951493,DM3_hist_gradient_boosting,70,4,condition_fold,eis_phase_1kHz
DH1_capacity_state,5,1.2637661151491035,1.2637661151491035,1.2637661151491035,DM3_hist_gradient_boosting,27,1,condition_fold,eis_phase_1kHz
persistence,5,2.276,1.26375,1.207,DM0_persistence,70,4,condition_fold,eis_phase_1kHz
persistence,5,2.276,1.26375,1.207,DM0_persistence,70,4,profile_holdout_fold,eis_phase_1kHz
persistence,5,2.276,1.26375,1.207,DM0_persistence,70,4,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.8812558426015755,1.2409462352081064,1.4857788720770042,DM3_hist_gradient_boosting,67,6,voltage_window_holdout_fold,eis_phase_1kHz
persistence,2,2.298,1.230222222222222,1.393,DM0_persistence,67,9,condition_fold,eis_phase_1kHz
persistence,2,2.298,1.230222222222222,1.393,DM0_persistence,67,9,profile_holdout_fold,eis_phase_1kHz
persistence,2,2.298,1.230222222222222,1.393,DM0_persistence,67,9,temperature_holdout_fold,eis_phase_1kHz
persistence,2,2.298,1.230222222222222,1.393,DM0_persistence,67,9,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.224776760852069,1.224776760852069,1.224776760852069,DM3_hist_gradient_boosting,40,1,c_rate_holdout_fold,eis_phase_1kHz
persistence,5,4.936999999999999,1.2056190476190476,0.583,DM0_persistence,26,21,condition_fold,eis_phase_1kHz
persistence,5,4.936999999999999,1.2056190476190476,0.583,DM0_persistence,26,21,temperature_holdout_fold,eis_phase_1kHz
persistence,5,4.936999999999999,1.2056190476190476,0.583,DM0_persistence,26,21,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.4012412759770292,1.2025128832943164,1.3491411814871153,DM3_hist_gradient_boosting,32,3,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.6111522025468084,1.1925700174016844,1.0207789248291226,DM3_hist_gradient_boosting,28,3,c_rate_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.1617290976575594,1.1617290976575594,1.1617290976575594,DM3_hist_gradient_boosting,27,1,temperature_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.4154331580329709,1.1594387708699678,1.2302185917776498,DM3_hist_gradient_boosting,32,3,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,1.4821044061240192,1.158772952669014,1.0222444039374472,DM3_hist_gradient_boosting,28,3,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.5482303806437607,1.156920004328484,1.345903853827965,DM3_hist_gradient_boosting,32,3,voltage_window_holdout_fold,eis_phase_1kHz
