target,model_level,feature_group,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,rows,cells,mae,rmse,mean_signed_error,median_abs_error,mean_y_true,mean_y_pred,support_score,nearest_distance,nearest_parameter_set,same_stressor_support_count,exact_nominal_match_count,claim_scope
capacity_Ah_k1,L2_hist_gradient_boosting,F4_state_log_age_scalar,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.24736463530699904,0.2694073986232669,0.24736463530699904,0.2522782784309009,2.1861891666666664,2.4335538019736656,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F8_timestamp_weighted_stress,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.2443154630259605,0.24654175705126838,0.2443154630259605,0.25443201443346636,-0.48400216666666673,-0.23968670364070624,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F5_log_age_histograms,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.24303524846680977,0.30042013981172333,0.24303524846680977,0.22985085881382794,2.2871866666666665,2.530221915133476,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F9_event_segmented_stress,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.241594386937216,0.24228334314067582,0.241594386937216,0.24390611440027862,-0.48400216666666673,-0.2424077797294508,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F10_c_rate_v1_1,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.23962124830108664,0.26457600064486886,0.23962124830108664,0.23868140961121953,2.1861891666666664,2.4258104149677533,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F6_coupled_stress,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,4,3,0.23426225683906315,0.2482021726499588,0.23426225683906315,0.20753597712334765,-0.4024384999999999,-0.16817624316093677,0.5988023952095809,0.6699999999999999,23,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F6_coupled_stress,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.23112791767996185,0.24716566549338556,0.23112791767996185,0.24420914502075608,2.1861891666666664,2.4173170843466285,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,4,3,0.2304161008286435,0.24205604899505467,0.2304161008286435,0.20017692962899258,-0.4024384999999999,-0.17202239917135642,0.5988023952095809,0.6699999999999999,23,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.23033231031833876,0.24530356994607666,0.23033231031833876,0.23686445776975806,2.1861891666666664,2.416521476985005,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F5_log_age_histograms,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.23010896530342606,0.2769649960890604,0.23010896530342606,0.22545060937088213,-0.5571718333333334,-0.3270628680299073,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F9_event_segmented_stress,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,4,3,0.22546983161045012,0.2320746572014522,0.22546983161045012,0.2055432468905104,-0.4024384999999999,-0.1769686683895498,0.5988023952095809,0.6699999999999999,23,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,4,3,0.2209548024972225,0.23623698018048583,0.2209548024972225,0.19030577926137207,-0.4024384999999999,-0.18148369750277743,0.5988023952095809,0.6699999999999999,23,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F6_coupled_stress,1,44,cyclic,25.0,approx_0_100,1.67,1.0,0,6,3,0.21957996808788813,0.28228255656854073,0.21957996808788813,0.1366686651061123,-0.4149285,-0.19534853191211185,0.5988023952095809,0.6699999999999999,43,0,0,condition_error_hotspot_diagnostic
