run_scope,model_level,feature_group,split_name,heldout_fold,target,target_path,test_rows,test_parameter_sets,mae,rmse,signed_bias,condition_mean_mae,condition_median_mae,worst_condition_mae
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,voltage_window_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,1130,28,0.06490746014031086,0.11412202773405639,0.012901590685769133,0.12425650294539223,0.07208148781499885,0.4191854168842489
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,voltage_window_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1371,32,0.07239569621640432,0.11351622025814961,-0.025170497831966374,0.10995816613861349,0.10425522102809723,0.287468943742677
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,voltage_window_holdout_fold,3,delta_capacity_Ah,derived_delta_from_capacity,1326,16,0.10386390028357312,0.12616419430661097,-0.103837514316283,0.10388390776484124,0.10637966396379246,0.13398864833776414
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,c_rate_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,157,12,0.11530286510380261,0.20985461646744624,0.10633043755605474,0.17210316231041622,0.1473120546167365,0.34972687392621865
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,condition_fold,0,delta_capacity_Ah,derived_delta_from_capacity,844,16,0.02741982971739782,0.06647272962991062,0.00624902213549682,0.046174152699705144,0.027141128564911767,0.13368844046775274
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,condition_fold,1,delta_capacity_Ah,derived_delta_from_capacity,865,15,0.02470931411249727,0.07300253444017779,0.009121586313566684,0.047577107602768245,0.026519457236966044,0.20777456615326054
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,condition_fold,2,delta_capacity_Ah,derived_delta_from_capacity,892,15,0.021248257324299604,0.05083448923406617,-0.0017484883809768135,0.04417188488129911,0.024096327010149125,0.2434115306887035
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,condition_fold,3,delta_capacity_Ah,derived_delta_from_capacity,509,15,0.04012380789909832,0.10680946309922854,0.020751793891136752,0.08362881987820667,0.0778873568887186,0.2783682103263083
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,condition_fold,4,delta_capacity_Ah,derived_delta_from_capacity,717,15,0.02234494473277957,0.05546227820509961,0.0033084613888428437,0.05288863378098805,0.03563359457814235,0.18725533648420464
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,temperature_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,742,19,0.03554174511245105,0.09593155392321202,0.022039222980110046,0.09555221055973355,0.06030876837856511,0.26930039456550187
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,temperature_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1060,19,0.05011165821824446,0.12213090635819097,-0.009612963794173333,0.0654182142133718,0.051693625218866106,0.16294142082822985
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,1130,28,0.06331687962851922,0.11331517442989959,0.01795591044078533,0.11666931655148939,0.07463692893100092,0.3409326452707074
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1371,32,0.08308654759224081,0.12399361835734034,-0.04406745948409442,0.12170011534099158,0.13129682336376014,0.27105658248592446
