diagnostic_family,feature_group,horizon_checkups,mean_condition_mae,mean_mae,mean_rmse,model_level,rows,split_name,target_name,total_test_rows,worst_condition_mae
eis,DH3_capacity_plus_prior_same_diagnostic,1,0.0007900799883604698,0.0005924217158918603,0.0014606799739414122,DM3_hist_gradient_boosting,12,all,nyquist_semicircle_width_proxy,10131,0.00441387441256801
eis,persistence,2,0.0020186305168593648,0.0010813725926604547,0.002001201519835002,DM0_persistence,12,all,nyquist_semicircle_width_proxy,9504,0.007744999999999998
eis,train_mean,2,0.002747664521318915,0.0027006552651992165,0.0036779912200996683,DM1_train_mean,12,all,nyquist_semicircle_width_proxy,9504,0.00763239394499141
eis,DH0_time_nominal,2,0.0020110548425792294,0.0018912343679581029,0.0027272768262937494,DM2_ridge,12,all,nyquist_semicircle_width_proxy,9504,0.010310170839815672
eis,DH1_capacity_state,2,0.0017964218611753735,0.0013988978136051863,0.002160465210592191,DM2_ridge,12,all,nyquist_semicircle_width_proxy,9504,0.007348000577190178
eis,DH2_prior_same_diagnostic_state,2,0.0012937236968956292,0.0008718844737877954,0.0015944766567931676,DM2_ridge,12,all,nyquist_semicircle_width_proxy,9504,0.005882291590785604
eis,DH3_capacity_plus_prior_same_diagnostic,2,0.0013480691490602777,0.0008194706518970664,0.0015649758470912803,DM2_ridge,12,all,nyquist_semicircle_width_proxy,9504,0.006607069962711519
eis,DH0_time_nominal,2,0.0021137536982049885,0.0021111380097622815,0.0031668200940506864,DM3_hist_gradient_boosting,12,all,nyquist_semicircle_width_proxy,9504,0.009960233373153944
eis,DH1_capacity_state,2,0.0014646453915773674,0.0011507804460212042,0.0021138870230551013,DM3_hist_gradient_boosting,12,all,nyquist_semicircle_width_proxy,9504,0.0056743792125006414
eis,DH2_prior_same_diagnostic_state,2,0.0011811460334627923,0.0007873095598781712,0.0016295003533312452,DM3_hist_gradient_boosting,12,all,nyquist_semicircle_width_proxy,9504,0.0055914787809178
eis,DH3_capacity_plus_prior_same_diagnostic,2,0.0012124202603258512,0.0008076332642550217,0.0017372814598893994,DM3_hist_gradient_boosting,12,all,nyquist_semicircle_width_proxy,9504,0.0055057240813446715
eis,persistence,3,0.0020753160685095507,0.0013357316477181416,0.0022727274488622156,DM0_persistence,12,all,nyquist_semicircle_width_proxy,8873,0.006970999999999998
eis,train_mean,3,0.0026410597163136896,0.002719378427820997,0.0037274685521138246,DM1_train_mean,12,all,nyquist_semicircle_width_proxy,8873,0.008058386952861953
eis,DH0_time_nominal,3,0.0020359151807045157,0.0019348757687852984,0.0027750721892207783,DM2_ridge,12,all,nyquist_semicircle_width_proxy,8873,0.009320498088027856
eis,DH1_capacity_state,3,0.0015934417502021063,0.001406512985403152,0.002176849555337011,DM2_ridge,12,all,nyquist_semicircle_width_proxy,8873,0.007526042881012219
eis,DH2_prior_same_diagnostic_state,3,0.001224996770033438,0.0009561813683570875,0.0017010297086702583,DM2_ridge,12,all,nyquist_semicircle_width_proxy,8873,0.006783312123053014
eis,DH3_capacity_plus_prior_same_diagnostic,3,0.0011633322445033724,0.0008676901354536668,0.0016073474628960577,DM2_ridge,12,all,nyquist_semicircle_width_proxy,8873,0.006534825779737465
eis,DH0_time_nominal,3,0.0021491302404843204,0.0021846247298670366,0.0032416294862529747,DM3_hist_gradient_boosting,12,all,nyquist_semicircle_width_proxy,8873,0.009970145732786798
eis,DH1_capacity_state,3,0.0014397068990447837,0.00123190820232827,0.0021578953678015825,DM3_hist_gradient_boosting,12,all,nyquist_semicircle_width_proxy,8873,0.005817842559366624
eis,DH2_prior_same_diagnostic_state,3,0.0012720096877572777,0.0009589044284332845,0.0018332248268180381,DM3_hist_gradient_boosting,12,all,nyquist_semicircle_width_proxy,8873,0.0060183455992827975
eis,DH3_capacity_plus_prior_same_diagnostic,3,0.0012226144982808592,0.0009205521640254765,0.0018230794033284627,DM3_hist_gradient_boosting,12,all,nyquist_semicircle_width_proxy,8873,0.00582829224652094
eis,persistence,5,0.0028967549318692806,0.0018465746320639412,0.0028736398369940534,DM0_persistence,12,all,nyquist_semicircle_width_proxy,7771,0.009647
eis,train_mean,5,0.0030712173496036618,0.0028801076800850033,0.003928072857177369,DM1_train_mean,12,all,nyquist_semicircle_width_proxy,7771,0.008841388519250577
eis,DH0_time_nominal,5,0.0022682200121656943,0.002112460064684496,0.002967464076741561,DM2_ridge,12,all,nyquist_semicircle_width_proxy,7771,0.00988958918206732
eis,DH1_capacity_state,5,0.001857807255812048,0.0015343163561197918,0.0023492264686976604,DM2_ridge,12,all,nyquist_semicircle_width_proxy,7771,0.009311779749240991
eis,DH2_prior_same_diagnostic_state,5,0.0016048924860901839,0.0012479229725519793,0.002033797601090189,DM2_ridge,12,all,nyquist_semicircle_width_proxy,7771,0.008754750351203799
eis,DH3_capacity_plus_prior_same_diagnostic,5,0.001552886220228265,0.0011413495723514167,0.0019370813853480428,DM2_ridge,12,all,nyquist_semicircle_width_proxy,7771,0.008590062751058078
