split_name,target,horizon_checkups,contrast_family,effect_bin,matched_rows,matched_contrasts,hgb_sign_accuracy,prior_slope_sign_accuracy,sign_accuracy_gain_vs_prior,hgb_mean_effect_abs_error,prior_slope_mean_effect_abs_error,mean_abs_error_gain_vs_prior,hgb_sign_correct_rows,prior_slope_sign_correct_rows,claim_scope
temperature_holdout_fold,capacity_Ah_kh,3,temperature,tiny_lt_0.01Ah,4,2,1.0,0.75,0.25,0.026293498858315,0.03376833333333329,0.007474834475018288,4,3,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,voltage_window,large_ge_0.05Ah,283,27,0.9823321554770318,0.9575971731448764,0.02473498233215543,0.07701981061958045,0.07344028032979981,-0.0035795302897806414,278,271,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,voltage_window,medium_0.02_to_0.05Ah,113,13,0.9823008849557522,0.9557522123893806,0.02654867256637161,0.014805961757989532,0.011370892330383419,-0.0034350694276061126,111,108,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,voltage_window,small_0.01_to_0.02Ah,5,3,0.6,0.6,0.0,0.01107077830026384,0.01376439999999981,0.0026936216997359708,3,3,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,voltage_window,tiny_lt_0.01Ah,35,3,0.8529411764705882,0.8571428571428571,-0.004201680672268893,0.007100608783147777,0.006571342857142693,-0.0005292659260050844,29,30,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,all,large_ge_0.05Ah,258,63,0.9534883720930233,0.9631336405529954,-0.009645268459972156,0.16745431440028205,0.18398936757105946,0.016535053170777414,246,209,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,all,medium_0.02_to_0.05Ah,176,40,0.9034090909090909,0.9423076923076923,-0.03889860139860135,0.039148794759456824,0.019181628787878782,-0.019967165971578042,159,147,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,all,small_0.01_to_0.02Ah,125,33,0.856,0.9067796610169492,-0.050779661016949196,0.025756051949465248,0.014501573333333287,-0.011254478616131961,107,107,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,all,tiny_lt_0.01Ah,308,28,0.75177304964539,0.8178807947019867,-0.06610774505659667,0.008928355397987591,0.0054954783549783165,-0.003432877043009275,212,247,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,charge_c_rate,large_ge_0.05Ah,56,15,1.0,0.9787234042553191,0.021276595744680882,0.1609062701813321,0.19997446428571433,0.039068194104382226,56,46,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,charge_c_rate,medium_0.02_to_0.05Ah,24,7,0.9166666666666666,0.8947368421052632,0.021929824561403466,0.06892335914619847,0.021852270833333298,-0.047071088312865175,22,17,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,charge_c_rate,small_0.01_to_0.02Ah,11,4,0.7272727272727273,1.0,-0.2727272727272727,0.07395458965327764,0.029585030303030294,-0.04436955935024735,8,9,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,charge_c_rate,tiny_lt_0.01Ah,1,1,1.0,1.0,0.0,0.0631208141081774,0.014399999999999743,-0.04872081410817765,1,1,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,profile,large_ge_0.05Ah,27,6,1.0,1.0,0.0,0.22017740410395134,0.2037214135802469,-0.016455990523704445,27,24,prospective_supported_contrast_diagnostic
