bin,bin_left,bin_right,calibration_method,label_policy,mean_probability,observed_rate,positive_count,row_count,split_name,target
2,0.2,0.3,C0_raw_hgb_w2,verified_only,0.24915988283366214,0.75,3,4,c_rate_holdout_fold,event_within_1_checkup
3,0.3,0.4,C0_raw_hgb_w2,verified_only,0.3299369712704706,0.6666666666666666,2,3,c_rate_holdout_fold,event_within_1_checkup
4,0.4,0.5,C0_raw_hgb_w2,verified_only,0.4045911743526785,1.0,1,1,c_rate_holdout_fold,event_within_1_checkup
5,0.5,0.6,C0_raw_hgb_w2,verified_only,0.5651158137323683,0.5,1,2,c_rate_holdout_fold,event_within_1_checkup
6,0.6,0.7,C0_raw_hgb_w2,verified_only,0.6354470666937083,0.0,0,2,c_rate_holdout_fold,event_within_1_checkup
7,0.7,0.8,C0_raw_hgb_w2,verified_only,0.7655768075994868,1.0,1,1,c_rate_holdout_fold,event_within_1_checkup
8,0.8,0.9,C0_raw_hgb_w2,verified_only,0.8699966258668701,1.0,1,1,c_rate_holdout_fold,event_within_1_checkup
9,0.9,1.0,C0_raw_hgb_w2,verified_only,0.9692927871345972,1.0,12,12,c_rate_holdout_fold,event_within_1_checkup
0,0.0,0.1,C0_raw_hgb_w2,verified_only,0.004556024275894596,0.011899313501144164,26,2185,condition_fold,event_within_1_checkup
1,0.1,0.2,C0_raw_hgb_w2,verified_only,0.15391653090215943,0.32432432432432434,12,37,condition_fold,event_within_1_checkup
2,0.2,0.3,C0_raw_hgb_w2,verified_only,0.24820316642092394,0.15,3,20,condition_fold,event_within_1_checkup
3,0.3,0.4,C0_raw_hgb_w2,verified_only,0.3312132713857155,0.6428571428571429,9,14,condition_fold,event_within_1_checkup
4,0.4,0.5,C0_raw_hgb_w2,verified_only,0.4453348742237409,0.42105263157894735,8,19,condition_fold,event_within_1_checkup
5,0.5,0.6,C0_raw_hgb_w2,verified_only,0.5521917298205336,0.5714285714285714,12,21,condition_fold,event_within_1_checkup
6,0.6,0.7,C0_raw_hgb_w2,verified_only,0.6514301371862145,0.5,9,18,condition_fold,event_within_1_checkup
7,0.7,0.8,C0_raw_hgb_w2,verified_only,0.7542307608725881,0.29411764705882354,5,17,condition_fold,event_within_1_checkup
8,0.8,0.9,C0_raw_hgb_w2,verified_only,0.8568923949099084,0.6875,11,16,condition_fold,event_within_1_checkup
9,0.9,1.0,C0_raw_hgb_w2,verified_only,0.9668446154022072,0.9069767441860465,78,86,condition_fold,event_within_1_checkup
0,0.0,0.1,C0_raw_hgb_w2,verified_only,0.001918882982882845,0.008695652173913044,6,690,profile_holdout_fold,event_within_1_checkup
1,0.1,0.2,C0_raw_hgb_w2,verified_only,0.12804530790998406,0.3333333333333333,2,6,profile_holdout_fold,event_within_1_checkup
2,0.2,0.3,C0_raw_hgb_w2,verified_only,0.29308876538755696,0.0,0,1,profile_holdout_fold,event_within_1_checkup
3,0.3,0.4,C0_raw_hgb_w2,verified_only,0.3207445449106371,1.0,1,1,profile_holdout_fold,event_within_1_checkup
4,0.4,0.5,C0_raw_hgb_w2,verified_only,0.4777285174543512,0.0,0,1,profile_holdout_fold,event_within_1_checkup
5,0.5,0.6,C0_raw_hgb_w2,verified_only,0.5426851977690775,1.0,1,1,profile_holdout_fold,event_within_1_checkup
7,0.7,0.8,C0_raw_hgb_w2,verified_only,0.7675407195845132,0.0,0,3,profile_holdout_fold,event_within_1_checkup
8,0.8,0.9,C0_raw_hgb_w2,verified_only,0.864748442046763,0.2222222222222222,2,9,profile_holdout_fold,event_within_1_checkup
9,0.9,1.0,C0_raw_hgb_w2,verified_only,0.9708789280609535,0.6,24,40,profile_holdout_fold,event_within_1_checkup
0,0.0,0.1,C0_raw_hgb_w2,verified_only,0.004230467989307422,0.02280701754385965,26,1140,temperature_holdout_fold,event_within_1_checkup
1,0.1,0.2,C0_raw_hgb_w2,verified_only,0.15383280612245004,0.3125,5,16,temperature_holdout_fold,event_within_1_checkup
2,0.2,0.3,C0_raw_hgb_w2,verified_only,0.2756664008798018,0.0,0,6,temperature_holdout_fold,event_within_1_checkup
3,0.3,0.4,C0_raw_hgb_w2,verified_only,0.32807275644312284,0.5,4,8,temperature_holdout_fold,event_within_1_checkup
4,0.4,0.5,C0_raw_hgb_w2,verified_only,0.4442967739540112,0.16666666666666666,1,6,temperature_holdout_fold,event_within_1_checkup
5,0.5,0.6,C0_raw_hgb_w2,verified_only,0.5498036578490983,0.2,1,5,temperature_holdout_fold,event_within_1_checkup
6,0.6,0.7,C0_raw_hgb_w2,verified_only,0.6335835087097238,0.5,3,6,temperature_holdout_fold,event_within_1_checkup
7,0.7,0.8,C0_raw_hgb_w2,verified_only,0.7695715220188717,0.5,1,2,temperature_holdout_fold,event_within_1_checkup
8,0.8,0.9,C0_raw_hgb_w2,verified_only,0.8469407174807183,0.6666666666666666,8,12,temperature_holdout_fold,event_within_1_checkup
9,0.9,1.0,C0_raw_hgb_w2,verified_only,0.9571764603567462,0.8431372549019608,43,51,temperature_holdout_fold,event_within_1_checkup
0,0.0,0.1,C0_raw_hgb_w2,verified_only,0.004893352130525092,0.015242494226327945,33,2165,voltage_window_holdout_fold,event_within_1_checkup
1,0.1,0.2,C0_raw_hgb_w2,verified_only,0.1306728916071383,0.3,15,50,voltage_window_holdout_fold,event_within_1_checkup
2,0.2,0.3,C0_raw_hgb_w2,verified_only,0.2368332799311456,0.32142857142857145,9,28,voltage_window_holdout_fold,event_within_1_checkup
3,0.3,0.4,C0_raw_hgb_w2,verified_only,0.33928892327185506,0.5555555555555556,10,18,voltage_window_holdout_fold,event_within_1_checkup
4,0.4,0.5,C0_raw_hgb_w2,verified_only,0.44431501046694516,0.6666666666666666,4,6,voltage_window_holdout_fold,event_within_1_checkup
5,0.5,0.6,C0_raw_hgb_w2,verified_only,0.5339460882709449,0.42857142857142855,3,7,voltage_window_holdout_fold,event_within_1_checkup
6,0.6,0.7,C0_raw_hgb_w2,verified_only,0.6726865822746146,0.4,2,5,voltage_window_holdout_fold,event_within_1_checkup
7,0.7,0.8,C0_raw_hgb_w2,verified_only,0.7666541230142021,0.16666666666666666,3,18,voltage_window_holdout_fold,event_within_1_checkup
8,0.8,0.9,C0_raw_hgb_w2,verified_only,0.8539142336051022,0.45,9,20,voltage_window_holdout_fold,event_within_1_checkup
9,0.9,1.0,C0_raw_hgb_w2,verified_only,0.9561245050401816,0.7327586206896551,85,116,voltage_window_holdout_fold,event_within_1_checkup
0,0.0,0.1,C1_platt_logistic,verified_only,0.0014189759115337932,0.08943089430894309,11,123,c_rate_holdout_fold,event_within_1_checkup
1,0.1,0.2,C1_platt_logistic,verified_only,0.1547418921958618,0.75,3,4,c_rate_holdout_fold,event_within_1_checkup
2,0.2,0.3,C1_platt_logistic,verified_only,0.24254860362881775,1.0,2,2,c_rate_holdout_fold,event_within_1_checkup
3,0.3,0.4,C1_platt_logistic,verified_only,0.3359084793957945,1.0,1,1,c_rate_holdout_fold,event_within_1_checkup
5,0.5,0.6,C1_platt_logistic,verified_only,0.567065163033373,0.0,0,1,c_rate_holdout_fold,event_within_1_checkup
6,0.6,0.7,C1_platt_logistic,verified_only,0.6483646074428306,1.0,1,1,c_rate_holdout_fold,event_within_1_checkup
7,0.7,0.8,C1_platt_logistic,verified_only,0.7206668517753027,0.0,0,2,c_rate_holdout_fold,event_within_1_checkup
8,0.8,0.9,C1_platt_logistic,verified_only,0.8842907932133044,1.0,1,1,c_rate_holdout_fold,event_within_1_checkup
9,0.9,1.0,C1_platt_logistic,verified_only,0.9943793832924617,1.0,13,13,c_rate_holdout_fold,event_within_1_checkup
0,0.0,0.1,C1_platt_logistic,verified_only,0.01057529879473062,0.009478672985781991,20,2110,condition_fold,event_within_1_checkup
1,0.1,0.2,C1_platt_logistic,verified_only,0.14351957437744836,0.13432835820895522,9,67,condition_fold,event_within_1_checkup
2,0.2,0.3,C1_platt_logistic,verified_only,0.24861641399732134,0.08823529411764706,3,34,condition_fold,event_within_1_checkup
3,0.3,0.4,C1_platt_logistic,verified_only,0.34081184498434175,0.3103448275862069,9,29,condition_fold,event_within_1_checkup
4,0.4,0.5,C1_platt_logistic,verified_only,0.4403696532273259,0.36,9,25,condition_fold,event_within_1_checkup
5,0.5,0.6,C1_platt_logistic,verified_only,0.5451054962463897,0.36,9,25,condition_fold,event_within_1_checkup
6,0.6,0.7,C1_platt_logistic,verified_only,0.6415124793874125,0.56,14,25,condition_fold,event_within_1_checkup
7,0.7,0.8,C1_platt_logistic,verified_only,0.750932073119919,0.5555555555555556,10,18,condition_fold,event_within_1_checkup
8,0.8,0.9,C1_platt_logistic,verified_only,0.8467654125922434,0.7567567567567568,28,37,condition_fold,event_within_1_checkup
9,0.9,1.0,C1_platt_logistic,verified_only,0.9616701568120715,0.9841269841269841,62,63,condition_fold,event_within_1_checkup
0,0.0,0.1,C1_platt_logistic,verified_only,0.0076854088742100745,0.0044444444444444444,3,675,profile_holdout_fold,event_within_1_checkup
1,0.1,0.2,C1_platt_logistic,verified_only,0.14047323903329262,0.375,3,8,profile_holdout_fold,event_within_1_checkup
2,0.2,0.3,C1_platt_logistic,verified_only,0.24337134947463981,0.0,0,7,profile_holdout_fold,event_within_1_checkup
3,0.3,0.4,C1_platt_logistic,verified_only,0.35593754785684695,0.3333333333333333,2,6,profile_holdout_fold,event_within_1_checkup
5,0.5,0.6,C1_platt_logistic,verified_only,0.5768673085104894,0.5,1,2,profile_holdout_fold,event_within_1_checkup
7,0.7,0.8,C1_platt_logistic,verified_only,0.7324458780813745,0.5,1,2,profile_holdout_fold,event_within_1_checkup
8,0.8,0.9,C1_platt_logistic,verified_only,0.875631768448732,0.0,0,3,profile_holdout_fold,event_within_1_checkup
