epoch,train_loss,val_loss,target,split_name,heldout_fold,model_level
4,0.10299349257624463,0.15660127997398376,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
5,0.09418401876954656,0.16046330332756042,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
6,0.09462327113080966,0.1494576334953308,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
7,0.08311397226919469,0.18309743702411652,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
8,0.07884865342394302,0.14450234174728394,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
9,0.07619566338038758,0.15638910233974457,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
10,0.08312522510899917,0.1312260776758194,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
11,0.07606003426113411,0.13420410454273224,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
12,0.060221153654550254,0.13322964310646057,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
13,0.06358878706630908,0.12489211559295654,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
14,0.06216641589018859,0.11288788169622421,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
15,0.0726716206654122,0.13306871056556702,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
16,0.0576365533235826,0.12359847128391266,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
17,0.05759911413157457,0.1395276039838791,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
18,0.055921747790355435,0.14925946295261383,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
19,0.05278502326262625,0.1393166184425354,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
20,0.04581864229648521,0.1077016144990921,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
21,0.04932374629731241,0.13784867525100708,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
22,0.059116692821446215,0.11173003166913986,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
23,0.04947428836634284,0.12420772016048431,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
24,0.05020102177207407,0.1219247505068779,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
25,0.0445379330531547,0.15053293108940125,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
26,0.04250923479220977,0.14779509603977203,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
27,0.04254687239268893,0.13178236782550812,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
28,0.04525845436575381,0.12826666235923767,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
29,0.0419171314294401,0.12185131758451462,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
30,0.04251204526640082,0.10575424134731293,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
31,0.043221715997022236,0.11093511432409286,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
32,0.03586562616309445,0.11016719788312912,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
33,0.03592935233916107,0.13439761102199554,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
34,0.03562217987583656,0.15105192363262177,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
35,0.032830153346845976,0.11921366304159164,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
36,0.03620609701120932,0.15665000677108765,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
37,0.03183893876542386,0.1219542920589447,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
38,0.03194654982929167,0.15516673028469086,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
39,0.032797604774762144,0.12107345461845398,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
40,0.03425811405146593,0.13891850411891937,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
41,0.03238035838952974,0.10543893277645111,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
42,0.030951777987770344,0.12226075679063797,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
43,0.028215292596111174,0.12965378165245056,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
44,0.03470746449832069,0.1267470419406891,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
45,0.029760242023162152,0.1359051913022995,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
46,0.028721610672379796,0.1180078312754631,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
47,0.032329298335274585,0.1537039577960968,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
48,0.026151745567882533,0.11154834181070328,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
49,0.027530856111920195,0.15327605605125427,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
50,0.029537304525116558,0.10856112837791443,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
51,0.028609818435813252,0.20556020736694336,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
52,0.03421352632147701,0.16137203574180603,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
53,0.030800006818026304,0.1624583750963211,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
54,0.029803157367400433,0.1285853534936905,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
55,0.03434797947442061,0.14968079328536987,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
56,0.04225434823035214,0.22379471361637115,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
57,0.035215279969729875,0.18743935227394104,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
58,0.02973134694375882,0.13164609670639038,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
59,0.024992526043206453,0.13074198365211487,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
60,0.026159754280295027,0.15253813564777374,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
61,0.02594282957235057,0.16124944388866425,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
1,0.19627869835025386,0.1398061066865921,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
2,0.09253193114541079,0.08456625789403915,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
3,0.054376786378653424,0.0640537217259407,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
4,0.04477577597687119,0.057438403367996216,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
5,0.032585216171451305,0.06370026618242264,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
6,0.030817212414388593,0.04223339259624481,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
7,0.02517091387294625,0.04150606691837311,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
8,0.027861588561025104,0.03833475708961487,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
9,0.02190538728609681,0.03685516119003296,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
10,0.022677140322660928,0.03328070044517517,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
11,0.021894326605098813,0.04186060652136803,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
12,0.020017739091264575,0.04575476795434952,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
13,0.022213421823260814,0.03215945512056351,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
14,0.020025416632722084,0.03686898946762085,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
15,0.019952213563221067,0.03739409148693085,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
16,0.018154878628832336,0.036466386169195175,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
17,0.015352301471131412,0.03808216750621796,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
18,0.01593595533631742,0.03990664333105087,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
19,0.014312300304146973,0.031931765377521515,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
20,0.014740991737007311,0.02689841203391552,capacity_Ah_k1,condition_fold,0,NS5_cnn_lstm_true_sequence
